Player's List,Base Price,COST IN ₹ (CR.),Cost IN $ (000),2022 Squad,TYPE_BATSMAN,TYPE_BOWLER,TYPE_WICKETKEEPER,Team_Delhi Capitals,Team_Gujarat Titans,Team_Kolkata Knight Riders,Team_Lucknow Super Giants,Team_Mumbai Indians,Team_Punjab Super Kings,Team_Rajasthan Royals,Team_Royal Challengers Banglore,Team_Sunrisers Hyderabad,Team_Unsold
Kuldip Yadav,0,0.0,0.0,RR,False,True,False,False,False,False,False,False,False,True,False,False,False
Obed Mccoy,0,0.0,0.0,RR,False,True,False,False,False,False,False,False,False,True,False,False,False
Harry Brook,15000000,13.25,1590.0,Not in 2022 Squad,True,False,False,False,False,False,False,False,False,False,False,True,False
Mayank Agarwal,10000000,8.25,990.0,PBKS,True,False,False,False,False,False,False,False,False,False,False,True,False
Heinrich Klaasen,10000000,5.25,630.0,Not in 2022 Squad,False,False,True,False,False,False,False,False,False,False,False,True,False
Vivrant Sharma,2000000,2.6,312.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,False,False,False,True,False
Adil Rashid,20000000,2.0,240.0,Not in 2022 Squad,False,True,False,False,False,False,False,False,False,False,False,True,False
Mayank Dagar,2000000,1.8,216.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,False,False,False,True,False
Akeal Hosein,10000000,1.0,120.0,Not in 2022 Squad,False,True,False,False,False,False,False,False,False,False,False,True,False
Mayank Markande,5000000,0.5,60.0,MI,False,True,False,False,False,False,False,False,False,False,False,True,False
Upendra Singh Yadav,2000000,0.25,30.0,Not in 2022 Squad,False,False,True,False,False,False,False,False,False,False,False,True,False
Nitish Kumar Reddy,2000000,0.2,24.0,Not in 2022 Squad,False,False,True,False,False,False,False,False,False,False,False,True,False
Samarth Vyas,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,False,False,False,True,False
Anmolpreet Singh,2000000,0.2,24.0,MI,True,False,False,False,False,False,False,False,False,False,False,True,False
Sanvir Singh,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,False,False,False,True,False
Marco Jansen,0,0.0,0.0,SRH,False,False,False,False,False,False,False,False,False,False,False,True,False
Rahul Tripathi,0,0.0,0.0,SRH,True,False,False,False,False,False,False,False,False,False,False,True,False
Umran Malik,0,0.0,0.0,SRH,False,True,False,False,False,False,False,False,False,False,False,True,False
Washington Sundar,0,0.0,0.0,SRH,False,False,False,False,False,False,False,False,False,False,False,True,False
Kartik Tyagi,0,0.0,0.0,SRH,False,True,False,False,False,False,False,False,False,False,False,True,False
T. Natarajan,0,0.0,0.0,SRH,False,True,False,False,False,False,False,False,False,False,False,True,False
Fazalhaq Farooqi,0,0.0,0.0,SRH,False,True,False,False,False,False,False,False,False,False,False,True,False
Abdul Samad,0,0.0,0.0,SRH,True,False,False,False,False,False,False,False,False,False,False,True,False
Abhishek Sharma,0,0.0,0.0,SRH,False,False,False,False,False,False,False,False,False,False,False,True,False
Aiden Markram,0,0.0,0.0,SRH,True,False,False,False,False,False,False,False,False,False,False,True,False
Bhuvneshwar Kumar,0,0.0,0.0,SRH,False,True,False,False,False,False,False,False,False,False,False,True,False
Glenn Phillips,0,0.0,0.0,SRH,False,False,True,False,False,False,False,False,False,False,False,True,False
Tom Banton,20000000,0.0,0.0,Not in 2022 Squad,False,False,True,False,False,False,False,False,False,False,False,False,True
Kusal Mendis,5000000,0.0,0.0,Not in 2022 Squad,False,False,True,False,False,False,False,False,False,False,False,False,True
Chris Jordan,20000000,0.0,0.0,CSK,False,True,False,False,False,False,False,False,False,False,False,False,True
Adam Milne,20000000,0.0,0.0,CSK,False,True,False,False,False,False,False,False,False,False,False,False,True
Mujeeb Rahman,10000000,0.0,0.0,Not in 2022 Squad,False,True,False,False,False,False,False,False,False,False,False,False,True
Tabraiz Shamsi,10000000,0.0,0.0,Not in 2022 Squad,False,True,False,False,False,False,False,False,False,False,False,False,True
Shubham Khajuria,2000000,0.0,0.0,Not in 2022 Squad,True,False,False,False,False,False,False,False,False,False,False,False,True
Rohan Kunnummal,2000000,0.0,0.0,Not in 2022 Squad,True,False,False,False,False,False,False,False,False,False,False,False,True
Chethan L.R.,2000000,0.0,0.0,Not in 2022 Squad,True,False,False,False,False,False,False,False,False,False,False,False,True
Himmat Singh,2000000,0.0,0.0,Not in 2022 Squad,True,False,False,False,False,False,False,False,False,False,False,False,True
